ZIP Code,County,Feb 2025,Feb 2026,% Change
10001,New York County,"$1,735,145.00","$1,723,058.00",-0.70%
10002,New York County,"$990,264.00","$1,000,394.00",1.02%
10003,New York County,"$1,300,805.00","$1,349,064.00",3.71%
10004,New York County,"$1,131,091.00","$1,180,935.00",4.41%
10005,New York County,"$1,094,385.00","$1,101,269.00",0.63%
10006,New York County,"$1,061,557.00","$1,048,805.00",-1.20%
10007,New York County,"$2,980,451.00","$3,117,177.00",4.59%
10009,New York County,"$950,000.00","$1,001,337.00",5.40%
10010,New York County,"$1,280,936.00","$1,292,593.00",0.91%
10011,New York County,"$1,558,151.00","$1,592,159.00",2.18%
10012,New York County,"$2,513,732.00","$2,804,187.00",11.55%
10013,New York County,"$3,421,732.00","$3,677,140.00",7.46%
10014,New York County,"$1,785,690.00","$1,795,437.00",0.55%
10016,New York County,"$937,251.00","$925,110.00",-1.30%
10017,New York County,"$732,075.00","$761,612.00",4.03%
10018,New York County,"$1,490,885.00","$1,387,177.00",-6.96%
10019,New York County,"$1,173,276.00","$1,215,147.00",3.57%
10021,New York County,"$1,501,787.00","$1,506,928.00",0.34%
10022,New York County,"$1,111,351.00","$1,146,631.00",3.17%
10023,New York County,"$1,415,487.00","$1,418,526.00",0.21%
10024,New York County,"$1,492,837.00","$1,558,744.00",4.41%
10025,New York County,"$1,097,462.00","$1,093,279.00",-0.38%
10026,New York County,"$850,270.00","$838,601.00",-1.37%
10027,New York County,"$825,595.00","$817,998.00",-0.92%
10028,New York County,"$1,440,944.00","$1,461,101.00",1.40%
10029,New York County,"$753,247.00","$737,976.00",-2.03%
10030,New York County,"$706,227.00","$684,889.00",-3.02%
10031,New York County,"$535,372.00","$532,179.00",-0.60%
10032,New York County,"$519,435.00","$522,155.00",0.52%
10033,New York County,"$580,529.00","$599,349.00",3.24%
10034,New York County,"$480,320.00","$464,186.00",-3.36%
10035,New York County,"$708,740.00","$700,299.00",-1.19%
10036,New York County,"$1,055,392.00","$1,005,071.00",-4.77%
10037,New York County,"$579,660.00","$566,862.00",-2.21%
10039,New York County,"$633,347.00","$617,328.00",-2.53%
10040,New York County,"$509,450.00","$495,885.00",-2.66%
10044,New York County,"$978,179.00","$944,961.00",-3.40%
10065,New York County,"$1,564,287.00","$1,670,766.00",6.81%
10069,New York County,"$1,922,042.00","$1,891,107.00",-1.61%
10075,New York County,"$1,228,743.00","$1,207,355.00",-1.74%
10128,New York County,"$1,170,075.00","$1,170,809.00",0.06%
10280,New York County,"$780,018.00","$776,920.00",-0.40%
10282,New York County,"$1,984,797.00","$2,160,426.00",8.85%
10301,Richmond County,"$672,405.00","$701,961.00",4.40%
10302,Richmond County,"$599,925.00","$626,824.00",4.48%
10303,Richmond County,"$521,972.00","$544,710.00",4.36%
10304,Richmond County,"$665,609.00","$694,915.00",4.40%
10305,Richmond County,"$691,005.00","$720,357.00",4.25%
10306,Richmond County,"$708,384.00","$744,762.00",5.14%
10307,Richmond County,"$780,231.00","$825,673.00",5.82%
10308,Richmond County,"$686,237.00","$723,461.00",5.42%
10309,Richmond County,"$752,446.00","$781,873.00",3.91%
10310,Richmond County,"$652,360.00","$686,771.00",5.27%
10312,Richmond County,"$717,427.00","$752,104.00",4.83%
10314,Richmond County,"$662,712.00","$700,935.00",5.77%
10451,Bronx County,"$304,333.00","$331,929.00",9.07%
10452,Bronx County,"$288,879.00","$319,081.00",10.45%
10453,Bronx County,"$554,058.00","$582,663.00",5.16%
10454,Bronx County,"$734,190.00","$786,661.00",7.15%
10455,Bronx County,"$453,510.00","$477,782.00",5.35%
10456,Bronx County,"$406,578.00","$452,100.00",11.20%
10457,Bronx County,"$489,801.00","$509,220.00",3.96%
10458,Bronx County,"$406,479.00","$424,337.00",4.39%
10459,Bronx County,"$475,314.00","$505,420.00",6.33%
10460,Bronx County,"$490,557.00","$526,361.00",7.30%
10461,Bronx County,"$681,887.00","$715,394.00",4.91%
10462,Bronx County,"$234,093.00","$238,668.00",1.95%
10463,Bronx County,"$380,933.00","$374,153.00",-1.78%
10464,Bronx County,"$658,032.00","$661,856.00",0.58%
10465,Bronx County,"$632,117.00","$674,491.00",6.70%
10466,Bronx County,"$608,028.00","$655,681.00",7.84%
10467,Bronx County,"$390,445.00","$419,871.00",7.54%
10468,Bronx County,"$262,853.00","$268,268.00",2.06%
10469,Bronx County,"$632,737.00","$683,409.00",8.01%
10470,Bronx County,"$596,068.00","$650,578.00",9.14%
10471,Bronx County,"$420,966.00","$431,319.00",2.46%
10472,Bronx County,"$647,879.00","$681,275.00",5.15%
10473,Bronx County,"$525,541.00","$547,056.00",4.09%
11004,Queens County,"$610,827.00","$620,158.00",1.53%
11101,Queens County,"$1,139,948.00","$1,142,758.00",0.25%
11102,Queens County,"$700,525.00","$705,539.00",0.72%
11103,Queens County,"$963,077.00","$1,036,165.00",7.59%
11104,Queens County,"$550,874.00","$541,001.00",-1.79%
11105,Queens County,"$1,039,355.00","$1,121,896.00",7.94%
11106,Queens County,"$637,537.00","$662,771.00",3.96%
11201,Kings County,"$1,292,881.00","$1,340,176.00",3.66%
11203,Kings County,"$681,918.00","$711,495.00",4.34%
11204,Kings County,"$1,137,999.00","$1,206,484.00",6.02%
11205,Kings County,"$981,142.00","$1,046,038.00",6.61%
11206,Kings County,"$981,346.00","$1,044,769.00",6.46%
11207,Kings County,"$619,123.00","$634,052.00",2.41%
11208,Kings County,"$690,110.00","$724,697.00",5.01%
11209,Kings County,"$777,266.00","$805,854.00",3.68%
11210,Kings County,"$833,230.00","$900,629.00",8.09%
11211,Kings County,"$1,285,212.00","$1,351,648.00",5.17%
11212,Kings County,"$651,617.00","$652,034.00",0.06%
