ZIP,County,Feb 2025,Feb 2026,% Change
10001,New York County,1735145.0,1723058.0,-0.7
10002,New York County,990264.0,1000394.0,1.02
10003,New York County,1300805.0,1349064.0,3.71
10004,New York County,1131091.0,1180935.0,4.41
10005,New York County,1094385.0,1101269.0,0.63
10006,New York County,1061557.0,1048805.0,-1.2
10007,New York County,2980451.0,3117177.0,4.59
10009,New York County,950000.0,1001337.0,5.4
10010,New York County,1280936.0,1292593.0,0.91
10011,New York County,1558151.0,1592159.0,2.18
10012,New York County,2513732.0,2804187.0,11.55
10013,New York County,3421732.0,3677140.0,7.46
10014,New York County,1785690.0,1795437.0,0.55
10016,New York County,937251.0,925110.0,-1.3
10017,New York County,732075.0,761612.0,4.03
10018,New York County,1490885.0,1387177.0,-6.96
10019,New York County,1173276.0,1215147.0,3.57
10021,New York County,1501787.0,1506928.0,0.34
10022,New York County,1111351.0,1146631.0,3.17
10023,New York County,1415487.0,1418526.0,0.21
10024,New York County,1492837.0,1558744.0,4.41
10025,New York County,1097462.0,1093279.0,-0.38
10026,New York County,850270.0,838601.0,-1.37
10027,New York County,825595.0,817998.0,-0.92
10028,New York County,1440944.0,1461101.0,1.4
10029,New York County,753247.0,737976.0,-2.03
10030,New York County,706227.0,684889.0,-3.02
10031,New York County,535372.0,532179.0,-0.6
10032,New York County,519435.0,522155.0,0.52
10033,New York County,580529.0,599349.0,3.24
10034,New York County,480320.0,464186.0,-3.36
10035,New York County,708740.0,700299.0,-1.19
10036,New York County,1055392.0,1005071.0,-4.77
10037,New York County,579660.0,566862.0,-2.21
10039,New York County,633347.0,617328.0,-2.53
10040,New York County,509450.0,495885.0,-2.66
10044,New York County,978179.0,944961.0,-3.4
10065,New York County,1564287.0,1670766.0,6.81
10069,New York County,1922042.0,1891107.0,-1.61
10075,New York County,1228743.0,1207355.0,-1.74
10128,New York County,1170075.0,1170809.0,0.06
10280,New York County,780018.0,776920.0,-0.4
10282,New York County,1984797.0,2160426.0,8.85
10301,Richmond County,672405.0,701961.0,4.4
10302,Richmond County,599925.0,626824.0,4.48
10303,Richmond County,521972.0,544710.0,4.36
10304,Richmond County,665609.0,694915.0,4.4
10305,Richmond County,691005.0,720357.0,4.25
10306,Richmond County,708384.0,744762.0,5.14
10307,Richmond County,780231.0,825673.0,5.82
10308,Richmond County,686237.0,723461.0,5.42
10309,Richmond County,752446.0,781873.0,3.91
10310,Richmond County,652360.0,686771.0,5.27
10312,Richmond County,717427.0,752104.0,4.83
10314,Richmond County,662712.0,700935.0,5.77
10451,Bronx County,304333.0,331929.0,9.07
10452,Bronx County,288879.0,319081.0,10.45
10453,Bronx County,554058.0,582663.0,5.16
10454,Bronx County,734190.0,786661.0,7.15
10455,Bronx County,453510.0,477782.0,5.35
10456,Bronx County,406578.0,452100.0,11.2
10457,Bronx County,489801.0,509220.0,3.96
10458,Bronx County,406479.0,424337.0,4.39
10459,Bronx County,475314.0,505420.0,6.33
